Fecha;Hora;PM10;SO2;NO2;NO;O3;dd;vv;HR;LL;PRB;TMP;BEN;TOL;XIL
15/08/2015;5:00:00;8;2;11;2;62;225;0.6;0;0;933;18.8;0;0;0
15/08/2015;6:00:00;14;2;11;2;56;326;0.9;0;0;932;18.1;0;0;0
15/08/2015;7:00:00;9;2;15;3;49;203;0.8;0;0;932;17;0;0;0
15/08/2015;8:00:00;6;2;15;3;48;157;0.6;0;0;932;16.5;0;0;0
15/08/2015;9:00:00;19;2;20;3;43;315;1.1;0;0;932;19.2;0;0;0
15/08/2015;10:00:00;12;2;14;3;43;290;1.5;0;0;933;20.1;0;0;0
15/08/2015;11:00:00;22;2;11;3;45;297;2.3;0;0;933;21.5;0;0;0
15/08/2015;12:00:00;11;2;10;2;52;272;2.1;0;0;933;23;0;0;0
15/08/2015;13:00:00;16;2;11;2;55;278;2;0;0;933;23.8;0;0;0
15/08/2015;14:00:00;3;2;10;2;60;293;1.8;0;0;932;25.2;0;0;0
15/08/2015;15:00:00;24;2;10;2;65;243;1.8;0;0;932;26;0;0;0
15/08/2015;16:00:00;15;2;8;2;69;272;2.5;0;0;932;27.3;0;0;0
15/08/2015;17:00:00;15;2;10;2;68;257;2.2;0;0;931;28.3;0;0;0
15/08/2015;18:00:00;12;2;9;3;72;265;2.7;0;0;931;27.8;0;0;0
15/08/2015;19:00:00;14;2;10;2;74;271;2.7;0;0;931;27.6;0;0;0
15/08/2015;20:00:00;30;2;11;2;77;248;2.7;0;0;931;26.6;0;0;0
15/08/2015;21:00:00;29;2;14;2;74;250;2.5;0;0;932;25.5;0;0;0
15/08/2015;22:00:00;11;2;16;2;67;249;2.3;0;0;932;23.9;0;0;0
15/08/2015;23:00:00;14;2;16;3;61;252;1.4;0;0;933;22.9;0;0;0
15/08/2015;0:00:00;24;2;14;3;61;246;1.2;0;0;933;22.4;0;0;0
17/08/2015;9:00:00;5;2;30;5;23;41;0.8;0;0;931;20.1;0;0;0
17/08/2015;10:00:00;18;2;22;4;29;286;1.4;0;0;932;22.5;0;0;0
17/08/2015;11:00:00;41;2;15;3;33;283;1.3;0;0;932;24.1;0;0;0
17/08/2015;12:00:00;12;2;13;4;41;226;2.5;0;0;932;25.3;0;0;0
17/08/2015;13:00:00;2;2;12;4;46;265;2.3;0;0;931;26.9;0;0;0
17/08/2015;14:00:00;7;2;12;3;50;227;3;0;0;931;27.5;0;0;0
17/08/2015;15:00:00;4;2;10;2;58;265;2.3;0;0;931;29.1;0;0;0
17/08/2015;16:00:00;9;2;9;2;61;246;2.4;0;0;930;29.2;0;0;0
17/08/2015;17:00:00;21;2;9;2;61;273;2.5;0;0;930;30;0;0;0
17/08/2015;18:00:00;20;2;12;3;64;276;2.3;0;0;929;28.5;0;0;0
17/08/2015;19:00:00;17;2;14;3;66;286;2.3;0;0;929;29.6;0;0;0
17/08/2015;20:00:00;23;2;14;3;68;278;2.1;0;0;929;28.5;0;0;0
17/08/2015;21:00:00;19;2;13;2;71;288;2;0;0;929;27.1;0;0;0
17/08/2015;22:00:00;29;2;28;3;62;286;1.4;0;0;930;25.3;0;0;0
17/08/2015;23:00:00;25;2;24;3;62;250;1;0;0;930;23.9;0;0;0
17/08/2015;0:00:00;22;2;17;2;68;239;1;0;0;930;23.5;0;0;0
18/08/2015;1:00:00;14;2;18;3;65;265;1.1;0;0;930;22.6;0;0;0
18/08/2015;2:00:00;29;2;17;2;68;291;0.9;0;0;930;22;0;0;0
18/08/2015;3:00:00;5;2;24;2;62;208;0.4;0;0;930;20.5;0;0;0
18/08/2015;4:00:00;15;2;23;2;55;26;0.3;0;0;930;19.9;0;0;0
18/08/2015;5:00:00;26;2;26;3;52;156;1;0;0;930;19.7;0;0;0
18/08/2015;6:00:00;14;2;15;3;58;156;1.3;0;0;930;19.8;0;0;0
18/08/2015;7:00:00;9;2;21;2;54;153;1.9;0;0;930;19.3;0;0;0
18/08/2015;8:00:00;14;2;35;3;48;162;1.7;0;0;930;19;0;0;0
18/08/2015;9:00:00;27;2;74;9;32;160;1.4;0;0;930;20;0;0;0
18/08/2015;10:00:00;37;2;60;11;36;160;1.2;0;0;931;23;0;0;0
18/08/2015;11:00:00;48;2;38;6;51;136;1.5;0;0;931;25.5;0;0;0
18/08/2015;12:00:00;53;2;15;3;68;313;1.6;0;0;931;28.4;0;0;0
18/08/2015;13:00:00;20;2;13;3;72;313;1.8;0;0;931;29.5;0;0;0
18/08/2015;14:00:00;15;2;12;3;76;303;2.3;0;0;931;29.9;0;0;0
18/08/2015;15:00:00;4;2;11;2;78;288;2.3;0;0;931;31.3;0;0;0
18/08/2015;16:00:00;8;2;11;2;81;290;2.7;0;0;930;31.8;0;0;0
18/08/2015;17:00:00;21;2;9;3;81;295;2.3;0;0;930;32.4;0;0;0
18/08/2015;18:00:00;11;2;11;3;84;280;2.5;0;0;930;31.9;0;0;0
18/08/2015;19:00:00;11;2;12;3;82;298;2.3;0;0;930;31.6;0;0;0
18/08/2015;20:00:00;14;2;13;3;82;312;2.2;0;0;930;30.6;0;0;0
18/08/2015;21:00:00;11;2;14;2;85;309;2.7;0;0;930;28.7;0;0;0
18/08/2015;22:00:00;22;2;33;2;71;265;0.7;0;0;931;26.5;0;0;0
18/08/2015;23:00:00;11;2;50;3;64;267;0.8;0;0;931;25;0;0;0
18/08/2015;0:00:00;13;2;20;2;83;247;1.3;0;0;932;24.9;0;0;0
19/08/2015;1:00:00;6;2;16;2;88;250;1.2;0;0;932;24.3;0;0;0
19/08/2015;2:00:00;16;2;45;3;63;33;0.6;0;0;932;22.8;0;0;0
19/08/2015;3:00:00;25;2;51;2;52;37;0.7;0;0;932;21.4;0;0;0
19/08/2015;4:00:00;30;2;26;2;63;156;1.5;0;0;932;21.7;0;0;0
19/08/2015;5:00:00;22;2;22;2;75;175;1.2;0;0;933;21.5;0;0;0
19/08/2015;6:00:00;7;2;21;2;64;150;2;0;0;933;20.4;0;0;0
19/08/2015;7:00:00;20;2;36;3;63;99;0.9;0;0;933;19.9;0;0;0
19/08/2015;8:00:00;5;2;101;9;28;154;0.9;0;0;933;18.8;0;0;0
19/08/2015;9:00:00;23;2;110;19;23;121;0.8;0;0;934;20.9;0;0;0
19/08/2015;10:00:00;43;2;62;9;50;43;1;0;0;934;22.7;0;0;0
19/08/2015;11:00:00;41;6;48;5;77;156;1.5;0;0;935;25.4;0;0;0
19/08/2015;12:00:00;49;3;18;3;80;85;1.5;0;0;935;27.6;0;0;0
19/08/2015;13:00:00;39;2;12;3;90;186;1.7;0;0;935;29.4;0;0;0
19/08/2015;14:00:00;9;2;10;2;92;101;1.8;0;0;935;30.7;0;0;0
19/08/2015;15:00:00;25;2;10;2;91;284;2.5;0;0;934;32.6;0;0;0
19/08/2015;16:00:00;33;2;9;2;96;135;2.4;0;0;934;32.6;0;0;0
19/08/2015;17:00:00;22;2;8;2;94;302;2;0;0;933;33.6;0;0;0
19/08/2015;18:00:00;24;2;11;2;94;316;1.8;0;0;933;34;0;0;0
