Fecha;Hora;S02;NO;NO2;O3;PM10;dd;vv;TMP;HR;PRB;LL
20/05/2015;13:00:00;1;0.9;9;87;12;46;0.2;20.2;52;1018;0.0
20/05/2015;14:00:00;1;0.8;13;80;21;58;0.2;19.2;56;1018;0.0
20/05/2015;15:00:00;0;1.2;15;77;17;47;0.3;18.5;60;1018;0.0
20/05/2015;16:00:00;1;6.0;31;62;21;54;0.2;18.9;56;1018;0.0
20/05/2015;17:00:00;1;0.6;11;72;12;77;0.1;18.4;67;1018;0.2
20/05/2015;18:00:00;0;0.4;6;80;21;69;0.0;18.4;65;1018;0.0
20/05/2015;19:00:00;0;0.4;9;81;15;63;0.1;18.0;63;1019;0.0
20/05/2015;20:00:00;0;0.3;14;75;16;45;0.3;17.4;66;1019;0.0
20/05/2015;21:00:00;0;0.2;14;68;19;78;0.1;16.6;70;1020;0.0
20/05/2015;22:00:00;0;0.3;14;48;23;108;0.1;15.6;76;1021;0.0
20/05/2015;23:00:00;0;0.4;11;60;17;106;0.1;14.9;78;1021;0.0
20/05/2015;0:00:00;0;0.3;5;69;15;108;0.1;15.1;76;1021;0.0
21/05/2015;1:00:00;0;0.3;4;72;13;109;0.1;14.9;76;1021;0.0
21/05/2015;2:00:00;0;0.4;4;75;18;109;0.1;14.5;77;1020;0.4
21/05/2015;3:00:00;0;0.1;4;65;17;108;0.1;14.5;79;1020;0.0
21/05/2015;4:00:00;0;0.1;4;53;9;107;0.1;14.2;87;1020;0.2
21/05/2015;5:00:00;0;0.5;6;37;11;110;0.1;14.4;91;1021;0.4
21/05/2015;6:00:00;0;0.6;15;51;14;70;0.3;13.7;92;1021;0.0
21/05/2015;7:00:00;0;0.8;16;63;10;71;0.2;13.0;91;1022;0.0
21/05/2015;8:00:00;0;3.4;22;62;8;53;0.2;15.3;75;1022;0.0
21/05/2015;9:00:00;1;3.1;12;75;19;43;0.5;17.9;58;1023;0.0
21/05/2015;10:00:00;0;2.1;10;80;13;43;0.6;19.2;53;1023;0.0
21/05/2015;11:00:00;0;1.5;12;82;13;45;0.5;18.6;51;1023;0.0
21/05/2015;12:00:00;0;0.6;6;92;;50;0.4;19.1;48;1023;0.0
21/05/2015;13:00:00;0;0.4;4;96;20;52;0.4;18.8;51;1023;0.0
21/05/2015;14:00:00;0;0.7;5;92;15;62;0.3;19.0;52;1023;0.0
