Fecha;Hora;S02;NO;NO2;PM10;O3;dd;vv;TMP;PRB;LL
15/06/2015;7:00:00;;0.0;4;;47;275;0.1;16.7;1006;
15/06/2015;8:00:00;;0.2;4;;69;237;0.6;19.9;1006;
15/06/2015;9:00:00;;0.9;9;;76;219;0.7;23.1;1006;
15/06/2015;10:00:00;;0.1;4;;90;224;0.4;24.6;1006;
15/06/2015;11:00:00;;0.4;5;;90;98;0.6;25.0;1007;
15/06/2015;12:00:00;;0.2;4;;88;111;0.9;24.6;1007;
15/06/2015;13:00:00;;0.1;2;;82;187;1.0;23.4;1007;
15/06/2015;14:00:00;;0.2;3;;71;227;0.2;20.2;1007;
15/06/2015;15:00:00;;0.1;2;;70;166;0.6;21.4;1007;
15/06/2015;16:00:00;;0.0;2;;74;111;0.6;23.1;1007;
15/06/2015;17:00:00;;0.0;2;;83;114;0.5;25.3;1007;
15/06/2015;18:00:00;;0.0;3;;86;133;0.6;25.6;1007;
15/06/2015;19:00:00;;0.0;4;;84;122;0.4;23.6;1007;
15/06/2015;20:00:00;;0.1;5;;76;74;0.2;23.0;1008;
15/06/2015;21:00:00;;0.0;4;;44;61;0.0;21.4;1008;
15/06/2015;22:00:00;;0.1;4;;33;61;0.0;20.2;1009;
15/06/2015;23:00:00;;0.0;4;;21;61;0.0;19.3;1009;
15/06/2015;0:00:00;;0.1;3;;15;61;0.0;18.5;1009;
16/06/2015;1:00:00;;0.3;3;;14;48;0.0;18.1;1009;6.0
16/06/2015;2:00:00;;0.0;5;;26;220;0.1;18.0;1008;0.2
16/06/2015;3:00:00;;0.0;6;;20;314;0.0;17.8;1008;0.0
16/06/2015;4:00:00;;0.1;3;;11;314;0.0;17.1;1008;0.0
16/06/2015;5:00:00;;0.4;4;;6;314;0.0;16.5;1008;0.0
16/06/2015;6:00:00;;0.8;5;;4;314;0.0;16.4;1008;0.2
16/06/2015;7:00:00;;1.2;5;;13;314;0.0;17.3;1008;0.2
16/06/2015;8:00:00;;0.0;3;;66;245;0.3;19.5;1008;0.2
16/06/2015;9:00:00;;0.1;4;;74;156;0.1;21.8;1008;0.2
16/06/2015;10:00:00;;0.1;3;;86;170;0.5;23.0;1008;0.2
16/06/2015;11:00:00;;1.3;6;;76;121;0.8;20.4;1009;1.5
16/06/2015;12:00:00;;1.0;6;;82;130;1.3;17.9;1009;11.5
16/06/2015;13:00:00;;0.7;5;;95;136;0.7;17.1;1010;18.5
16/06/2015;14:00:00;;0.7;5;;95;141;0.9;17.0;1010;22.7
16/06/2015;15:00:00;;0.3;2;;92;206;0.5;19.1;1010;23.2
16/06/2015;16:00:00;;0.6;3;;93;120;1.0;20.7;1010;23.2
16/06/2015;17:00:00;;0.4;3;;105;190;0.7;21.3;1010;23.4
16/06/2015;18:00:00;;0.2;2;;107;142;0.5;21.1;1010;23.4
