Fecha;NO;NO2;O3;PM10;SO2
10/07/2015;4;11;84;21;1
11/07/2015;4;9;85;22;1
12/07/2015;5;12;89;18;1
13/07/2015;4;12;94;18;1
14/07/2015;5;12;100;25;1
15/07/2015;4;11;103;34;1
16/07/2015;4;15;70;44;2
17/07/2015;5;19;67;32;2
18/07/2015;4;9;79;16;1
19/07/2015;4;6;58;12;1
20/07/2015;4;13;50;12;3
21/07/2015;3;12;57;13;2
22/07/2015;2;11;73;21;1
23/07/2015;1;10;82;16;1
24/07/2015;2;9;73;18;1
25/07/2015;1;7;74;16;1
26/07/2015;1;8;78;17;1
27/07/2015;1;5;69;15;1
28/07/2015;1;8;70;21;1
29/07/2015;2;6;55;14;1
30/07/2015;1;7;60;18;1
31/07/2015;1;10;54;17;1
01/08/2015;1;10;76;14;2
02/08/2015;2;19;77;18;2
03/08/2015;1;17;71;29;2
04/08/2015;1;10;79;20;1
05/08/2015;2;17;74;15;1
06/08/2015;3;16;79;16;1
07/08/2015;1;10;89;21;1
08/08/2015;1;4;80;17;1
09/08/2015;2;11;77;16;1
10/08/2015;3;14;73;29;1
11/08/2015;1;10;;41;1
12/08/2015;2;13;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;23;1
13/08/2015;1;3;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;13;1
14/08/2015;1;3;75;11;1
15/08/2015;1;4;62;12;1
16/08/2015;1;4;65;12;1
17/08/2015;1;5;70;12;1
18/08/2015;2;8;76;17;1
19/08/2015;1;10;79;17;1
20/08/2015;1;11;86;18;1
21/08/2015;1;14;79;22;1
22/08/2015;1;8;82;17;1
23/08/2015;1;5;61;11;1
24/08/2015;1;6;76;11;1
25/08/2015;2;12;71;12;1
26/08/2015;1;8;78;15;2
27/08/2015;2;13;53;10;1
28/08/2015;2;14;57;14;1
29/08/2015;1;7;87;31;1
30/08/2015;1;4;82;28;3
31/08/2015;1;6;74;27;1
01/09/2015;3;12;65;20;1
02/09/2015;2;11;73;19;1
03/09/2015;1;8;67;19;2
04/09/2015;2;9;65;15;1
05/09/2015;2;11;69;12;1
06/09/2015;1;11;67;14;1
07/09/2015;1;9;76;16;2
08/09/2015;2;12;74;18;1
09/09/2015;2;14;72;20;2
10/09/2015;1;10;60;15;1
11/09/2015;3;16;61;15;2
12/09/2015;1;7;75;16;2
13/09/2015;1;4;68;14;1
14/09/2015;1;5;71;13;1
15/09/2015;2;10;57;13;2
16/09/2015;1;3;69;14;1
17/09/2015;1;8;67;9;1
18/09/2015;2;13;56;9;1
19/09/2015;1;15;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;14;1
20/09/2015;1;16;;15;1
21/09/2015;4;17;61;14;1
22/09/2015;3;16;70;18;1
23/09/2015;2;11;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;13;1
24/09/2015;2;17;;15;1
25/09/2015;3;20;;18;2
26/09/2015;2;14;;18;2
27/09/2015;1;11;;12;1
28/09/2015;1;11;;18;1
29/09/2015;1;13;;17;1
30/09/2015;1;15;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;14;1
01/10/2015;2;13;69;18;1
02/10/2015;1;8;84;18;1
03/10/2015;1;18;63;22;1
04/10/2015;1;8;51;17;1
05/10/2015;1;5;67;13;1
06/10/2015;1;6;65;11;1
07/10/2015;1;8;69;13;1
08/10/2015;4;19;56;14;1
09/10/2015;2;21;55;15;2
10/10/2015;1;12;74;21;2
11/10/2015;1;8;60;13;1
12/10/2015;1;7;52;6;1
13/10/2015;1;9;50;11;1
14/10/2015;3;18;51;16;2
15/10/2015;9;27;46;14;3
16/10/2015;7;26;48;11;3
17/10/2015;1;9;68;13;2
18/10/2015;1;10;59;8;1
19/10/2015;1;9;59;7;1
20/10/2015;2;12;43;14;1
21/10/2015;1;13;54;15;1
22/10/2015;5;23;37;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;1
23/10/2015;6;23;29;No cumple el anexo IV de la Decisión del Consejo 97/101/CE;2
24/10/2015;2;24;26;11;2
25/10/2015;2;15;46;9;1
26/10/2015;1;11;57;12;1
27/10/2015;1;6;75;10;1
28/10/2015;1;7;66;12;1
29/10/2015;2;12;52;9;1
30/10/2015;2;13;57;10;1
31/10/2015;1;11;65;14;2
01/11/2015;1;7;76;10;1
02/11/2015;1;5;76;9;1
03/11/2015;5;15;54;9;1
04/11/2015;2;12;50;11;1
05/11/2015;;;;;
