Fecha;Hora;NO;NO2;O3;PM10;TMP;HR;PRB;LL
11/06/2015;4:00:00;1.4;1;101;30;22.9;81;1012;0.0
11/06/2015;5:00:00;1.6;1;98;27;23.2;71;1011;0.0
11/06/2015;6:00:00;2.3;3;96;23;24.2;61;1011;0.0
11/06/2015;7:00:00;;;;;24.7;64;1011;0.0
11/06/2015;8:00:00;;;;;25.2;64;1011;0.0
11/06/2015;9:00:00;;;;;25.7;63;1010;0.0
11/06/2015;10:00:00;;;;;26.3;62;1010;0.0
11/06/2015;11:00:00;;;;71;27.2;59;1010;0.0
11/06/2015;12:00:00;;;;59;27.5;59;1010;0.0
11/06/2015;13:00:00;;;;47;27.0;61;1009;0.0
11/06/2015;14:00:00;;;;46;26.6;63;1009;0.0
11/06/2015;15:00:00;2.1;4;85;64;26.3;64;1008;0.0
11/06/2015;16:00:00;3.6;6;83;70;25.2;71;1009;0.0
11/06/2015;17:00:00;1.5;2;82;50;24.6;74;1008;0.0
11/06/2015;18:00:00;0.9;2;82;70;23.9;78;1008;0.0
11/06/2015;19:00:00;0.5;1;84;58;23.6;82;1008;0.0
11/06/2015;20:00:00;0.4;2;87;73;23.5;83;1009;0.0
11/06/2015;21:00:00;0.7;3;85;84;23.4;85;1009;0.0
11/06/2015;22:00:00;0.2;0;85;70;23.3;85;1009;0.0
11/06/2015;23:00:00;0.2;1;80;81;23.2;85;1009;0.0
11/06/2015;0:00:00;0.3;1;80;86;23.1;86;1008;0.0
12/06/2015;1:00:00;0.4;1;55;83;22.7;87;1008;0.0
12/06/2015;2:00:00;0.3;2;56;67;22.7;87;1008;0.0
12/06/2015;3:00:00;0.3;1;80;69;23.0;89;1008;0.0
12/06/2015;4:00:00;0.4;1;80;55;23.1;90;1008;0.0
12/06/2015;5:00:00;1.1;3;77;68;23.1;90;1008;0.0
12/06/2015;6:00:00;2.4;7;73;83;23.2;89;1009;0.0
12/06/2015;7:00:00;3.3;10;67;69;23.4;88;1010;0.0
12/06/2015;8:00:00;1.1;7;75;73;23.4;87;1010;0.0
12/06/2015;9:00:00;1.2;6;79;62;23.8;84;1010;0.0
12/06/2015;10:00:00;1.4;6;79;49;23.9;82;1010;0.0
12/06/2015;11:00:00;5.7;12;78;55;24.3;79;1011;0.0
12/06/2015;12:00:00;1.7;7;79;45;24.2;79;1011;0.0
12/06/2015;13:00:00;1.3;4;83;59;23.7;80;1010;0.0
12/06/2015;14:00:00;1.0;2;96;34;24.6;69;1009;0.0
12/06/2015;15:00:00;1.1;4;103;24;26.1;59;1009;0.0
12/06/2015;16:00:00;1.0;5;106;28;25.5;59;1009;0.0
12/06/2015;17:00:00;0.8;4;100;29;24.8;69;1009;0.0
12/06/2015;18:00:00;0.5;1;79;44;24.3;74;1010;0.0
12/06/2015;19:00:00;2.5;5;73;49;23.7;79;1010;0.0
12/06/2015;20:00:00;0.8;3;71;54;23.2;82;1011;0.0
12/06/2015;21:00:00;2.2;6;67;51;23.1;82;1012;0.0
12/06/2015;22:00:00;3.9;8;64;46;22.8;83;1012;0.0
12/06/2015;23:00:00;0.3;1;66;56;22.4;84;1012;0.0
12/06/2015;0:00:00;0.5;2;60;56;22.2;85;1012;0.0
13/06/2015;1:00:00;2.6;4;55;63;21.9;87;1012;0.0
13/06/2015;2:00:00;3.2;7;62;55;22.0;87;1011;0.0
13/06/2015;3:00:00;1.0;3;65;58;22.0;86;1011;0.0
13/06/2015;4:00:00;0.2;2;48;54;21.4;87;1010;0.0
13/06/2015;5:00:00;0.8;5;37;60;20.9;88;1010;0.0
13/06/2015;6:00:00;2.2;4;36;49;21.2;89;1011;0.0
13/06/2015;7:00:00;3.9;7;64;57;22.7;86;1011;0.0
13/06/2015;8:00:00;1.4;3;78;57;23.7;77;1011;0.0
13/06/2015;9:00:00;1.3;4;84;46;24.4;70;1011;0.0
13/06/2015;10:00:00;1.6;4;87;44;24.8;66;1011;0.0
13/06/2015;11:00:00;0.8;2;85;46;25.6;64;1010;0.0
13/06/2015;12:00:00;0.6;1;83;51;25.4;67;1010;0.0
13/06/2015;13:00:00;0.8;2;76;53;24.7;72;1010;0.0
13/06/2015;14:00:00;0.7;2;71;41;24.3;74;1010;0.0
13/06/2015;15:00:00;0.4;1;72;55;24.3;72;1010;0.0
13/06/2015;16:00:00;0.4;0;69;43;24.6;70;1009;0.0
13/06/2015;17:00:00;0.2;1;74;37;24.2;73;1009;0.0
13/06/2015;18:00:00;0.4;0;75;31;23.9;74;1009;0.0
13/06/2015;19:00:00;0.5;1;82;34;23.3;76;1009;0.0
13/06/2015;20:00:00;0.6;1;81;48;22.9;79;1010;0.0
13/06/2015;21:00:00;0.3;1;81;47;22.7;81;1010;0.0
13/06/2015;22:00:00;0.5;1;79;51;22.7;82;1011;0.0
13/06/2015;23:00:00;0.3;1;81;48;22.6;79;1010;0.0
13/06/2015;0:00:00;0.3;1;84;43;22.3;79;1009;0.0
14/06/2015;1:00:00;0.3;0;86;43;22.1;80;1009;0.0
14/06/2015;2:00:00;0.2;0;88;44;22.1;80;1009;0.0
14/06/2015;3:00:00;0.2;2;81;55;21.8;81;1009;0.0
14/06/2015;4:00:00;0.3;1;87;67;22.0;81;1009;0.0
14/06/2015;5:00:00;0.4;2;82;62;22.1;82;1009;0.0
14/06/2015;6:00:00;0.4;3;78;68;22.6;81;1010;0.0
14/06/2015;7:00:00;0.5;1;86;61;22.8;82;1010;0.0
14/06/2015;8:00:00;0.3;1;89;56;23.3;79;1011;0.0
14/06/2015;9:00:00;0.4;1;91;56;23.8;75;1011;0.0
14/06/2015;10:00:00;0.4;1;89;39;24.1;71;1011;0.0
14/06/2015;11:00:00;0.4;1;89;37;24.6;69;1012;0.0
14/06/2015;12:00:00;0.4;0;90;30;24.8;68;1012;0.0
14/06/2015;13:00:00;0.2;0;83;41;25.1;68;1011;0.0
14/06/2015;14:00:00;0.4;0;82;24;25.2;67;1011;0.0
